ID Industry Group,Industry Group,Record Count,Total Population,Average Wage,Average Age,Average Income,Average Usual Hours Worked Per Week
4237,"Hardware, & plumbing & heating equipment, & supplies merchant wholesalers",8272,836357,52837.14969,45.31519794,59842.11056,39.35625098
4238,"Machinery, equipment, & supplies merchant wholesalers     ",20090,1930702,56316.96943,46.46071325,63767.41747,39.47166989
42393,Recyclable material merchant wholesalers,5080,519065,30983.5947,44.2510437,37690.4401,35.47963742
4239Z,Miscellaneous durable goods merchant wholesalers,6117,616952,46153.98602,44.804035,56638.1784,36.09692488
4241,Paper & paper products merchant wholesalers,2910,294779,51814.93705,47.27180362,59443.85672,36.99771693
4243,"Apparel, piece goods, & notions merchant wholesalers",6026,614372,48039.3893,43.74783519,55980.15118,35.91182541
4244,Grocery & related product merchant wholesalers,35764,3874520,41091.63373,42.756216,46068.69047,38.78875938
4245,Farm product raw material merchant wholesalers,4203,303428,40100.65507,45.28960412,47790.94813,38.49821045
4247,Petroleum & petroleum products merchant wholesalers,5094,504487,64720.603,46.51052059,72855.65536,40.31058878
4248,Alcoholic beverages merchant wholesalers,5869,627585,51880.38888,41.49743063,57570.49281,40.68895847
42491,Farm supplies merchant wholesalers,2817,228583,49184.37532,45.16023939,57105.72534,39.21054934
4249Z,Miscellaneous nondurable goods merchant wholesalers,10541,1042081,37409.47247,45.5596801,45997.48007,35.43587878
424M,"Drugs, sundries, & chemical & allied products merchant  wholesalers ",10828,1136432,73992.55292,44.18257846,80274.35831,39.14841539
4251,Wholesale electronic markets & agents & brokers,5787,569456,48910.60504,49.74836511,63313.3581,35.01838948
42S,Not specified wholesale trade,4851,521147,37553.36434,44.48379248,46808.91968,34.03482703
4411,Car Dealers,55518,5984868,42931.62588,42.91391707,49136.08924,39.37630972
4412,Other motor vehicle dealers,7565,757618,36814.65291,44.60853887,44149.23548,36.92381121
4413,"Automotive parts, accessories, & tire stores  ",21891,2345753,27774.42755,41.35122538,33495.91454,35.67895853
442,Furniture & home furnishings stores,25216,2684978,30424.42808,43.16980251,36685.10783,32.72246104
443141,Household appliance stores,2993,314506,31352.95993,44.75056756,38113.75432,35.5405811
443142,Electronics stores,23862,2696968,44296.19438,35.81448389,48417.35083,35.09412051
44413,Hardware stores,10510,1019362,24613.755,43.03026991,32065.67496,31.52503625
4441Z,Building material & supplies dealers,46358,4822336,29727.64453,42.58262448,34905.89507,33.79967883
4442,Lawn & garden equipment & supplies stores,13474,1189126,28967.58344,44.14400492,36694.00129,33.95018526
4451,Grocery Stores,143268,15393915,20187.37705,37.5160465,23455.69764,29.2870049
4452,Specialty food stores,11658,1229508,20665.67469,39.48856778,26084.09275,30.40244065
4453,"Beer, wine, & liquor stores ",7160,754040,26186.84853,41.79064904,32873.24912,33.08913585
44611,Pharmacies & drug stores,42400,4471677,38006.74838,38.90289191,42297.49739,31.36267669
446Z,"Health & personal care, except drug, stores ",17198,1887063,31629.63219,39.28033669,36555.64683,31.32805635
447,Gasoline stations,27934,2975687,20438.96274,37.6282193,23800.65962,31.11344439
4481,Clothing stores,55196,6140785,20025.91772,33.16434804,23321.72634,25.92587365
44821,Shoe stores,8615,992649,19887.80111,29.88440526,22475.07359,27.19992263
4483,"Jewelry, luggage, & leather goods stores ",8825,919444,27399.04426,43.82921635,35822.28745,30.55870069
45113,"Sewing, needlework, & piece goods stores ",3242,304701,15847.42005,49.37365483,26442.73041,24.70345355
45114,Musical instrument & supplies stores,2064,210430,25965.78207,40.25800504,32857.16143,31.89658794
4511M,"Sporting goods, and hobby & toy stores ",23815,2509962,20485.08336,36.06971261,25662.85497,28.30072168
45121,Book stores & news dealers,6898,693142,17103.36553,38.94234515,22419.19754,25.14425038
45211,Department stores & discount stores,110118,12038373,19357.4841,38.94451451,22498.17154,28.37633956
4529,Miscellaneous general merchandise stores,30625,3362404,19394.7696,37.89206919,22349.2083,28.41296168
4531,Retail florists,5937,559071,14709.77572,48.63569743,23777.01328,26.37876227
45321,Office supplies & stationery stores,6738,700474,31524.73161,39.58976065,36152.89514,31.39093814
45322,"Gift, novelty, & souvenir shops",9146,897991,15217.13232,44.15882008,23061.99741,23.93029329
4533,Used merchandise stores,14670,1535747,13667.3632,43.98977826,21795.42867,26.40270044
4539,Miscellaneous retail stores,25671,2651682,23614.5495,39.31299304,30541.245,30.1710899
454111,Electronic shopping,11205,1261536,43959.79687,37.00493684,51405.7195,36.26713784
454112,Electronic auctions,1156,123371,33932.11513,42.7477284,45494.09531,31.72159584
454113,Mail-order houses,6880,708015,34717.85428,43.34641215,40351.08002,32.73250425
4542,Vending machine operators,2093,214064,28955.446,46.60885062,38345.83511,35.01764893
454310,Fuel dealers,4790,409346,40755.87092,48.66551035,48165.22809,37.35088165
45439,Other direct selling establishments,8681,871071,17540.80468,43.61232666,28234.91578,25.22576001
4MS,Not specified retail trade,23451,2621785,27072.82765,40.99492636,32856.57272,30.46707186
2211P,"Electric power generation, transmission & distribution",34323,3193321,71840.03001,46.7306951,80003.37244,38.59175072
2212P,Natural gas distribution,5546,548004,64373.39476,45.49786315,70120.28,38.90101532
22132,Sewage treatment facilities,5729,510354,46749.05491,48.52247264,54343.6664,35.62615753
2213M,"Water, steam, air-conditioning, & irrigation systems",11968,1138131,47101.53656,47.10668016,53986.77145,36.62907345
221MP,"Electric & gas, and other combinations",4322,415686,74195.49872,47.73299077,83283.56954,37.93925222
22S,Not specified utilities,1132,107324,55909.40867,47.41746487,62671.62133,37.37522828
481,Air transportation,24315,2545266,60284.81698,46.30839763,67044.09741,36.46160676
482,Rail transportation,12565,1234721,60389.05401,45.7142974,67419.27871,40.37980726
483,Water transportation,3896,385663,57472.8553,45.13142044,65288.34718,42.82771746
484,Truck transportation,84792,8708313,36212.15876,46.69345107,45812.17542,41.91090881
4853,Taxi & limousine service,15023,1829764,17376.94361,46.0180608,28639.21434,36.72052133
485M,Bus service & urban transit,26056,2691787,33382.25689,51.03245613,41115.1886,32.77147858
486,Pipeline transportation,3248,310125,75495.5569,44.94295526,81818.5658,42.17502297
487,Scenic & sightseeing transportation,2170,199154,23792.72643,43.95503982,34302.83539,32.65618064
488,Services incidental to transportation,37893,4097152,41225.2334,44.39392046,48311.49639,37.7093708
491,Postal Service,36762,3402502,40773.35493,50.15598903,48370.96639,33.80975529
492,Couriers & messengers,30704,3548884,35557.90922,40.4852672,40243.87253,34.52437668
493,Warehousing & storage,24378,2862923,26682.57094,38.3462856,29193.2733,35.69399526
51111,Newspaper publishers,12682,1212439,31486.39256,46.76781182,38688.38431,30.00536934
5111Z,"Periodical, book, & directory publishers",13791,1319525,53326.69324,45.83861768,63766.18903,34.94022167
5112,Software publishing,6721,676199,111078.4749,40.930797,117501.0391,42.17275684
5121,Motion pictures & video industries,22188,2292623,42917.65611,36.3183345,53410.74674,34.41113868
5122,Sound recording industries,1611,164913,42990.53004,40.74549005,59114.08881,36.14927265
515,Broadcasting (except internet),22929,2467840,58835.24647,41.28493784,64113.33444,38.32092194
5171,Wired telecommunications carriers,27648,2855620,61154.41229,44.82402981,67656.86859,37.42806676
517Z,"Telecommunications, except wired telecommunications carriers ",14294,1571002,63040.22251,41.19109587,68493.64718,38.31297478
5182,"Data processing, hosting & related services",7121,729530,69035.52453,42.15284361,75121.21156,38.10292106
51912,Libraries & archives,14034,1213926,25108.83638,47.29398332,33369.24105,25.36825144
51913,"Internet publishing, broadcasting & web search portals",5378,547067,107285.4578,37.23109235,114802.3595,39.36594969
5191ZM,"Other information services, except libraries & archives, & internet publishing & broadcasting & web search portals",2321,239224,85570.75879,39.6900938,91083.04157,39.61439906
5221M,"Savings institutions, including credit unions ",12825,1275255,44106.92656,42.46049378,47911.01242,35.84117059
522M,Nondepository credit & related activities,37742,4093408,70792.86261,41.52868466,77608.6077,39.02643079
524,Insurance carriers & related activities,122734,12422115,60094.95853,45.7346831,69222.3052,37.229409
52M1,Banking & related activities,92597,9285880,63560.55739,42.99012985,68418.85904,37.12763034
52M2,"Securities, commodities, funds, trusts & other financial investments",50790,5094897,110700.131,44.70440188,130172.0484,40.11340445
531,Real estate,120991,12280960,41847.92204,48.5867043,60736.39156,34.33667987
5321,Automotive equipment rental & leasing,8098,906715,33602.88669,42.98854988,39912.1289,34.99617631
53223,Video tape & disk rental,752,82721,40047.45397,34.88981033,43533.02886,26.80464453
532M,Other consumer goods rental,4844,533907,29093.1713,38.10371469,34737.40678,36.09058881
53M,"Commercial, industrial & other intangible assets rental & leasing",5587,563157,57985.81264,43.61473976,64921.83675,40.22152615
5411,Legal services,76898,7465147,75919.03318,46.75622637,97948.87035,37.33573739
5412,"Accounting, tax preparation, bookkeeping & payroll services",54837,5335180,47168.02749,46.49303547,63695.82718,34.58539581
5413,"Architectural, engineering & related services",72767,7065478,66128.14472,45.75964471,78389.90774,37.8774792
5414,Specialized design services,17438,1769495,32648.76544,44.18589315,49153.48146,33.03611482
5415,Computer Systems Design,106452,10954691,83877.89911,41.51857556,92576.60524,39.70345709
5416,"Management, scientific & technical consulting services",80056,7804602,66062.65753,46.46924712,89292.02558,36.37052908
5417,Scientific research & development services,29978,2876560,74103.26067,43.29182218,83477.33891,37.39331146
5418,"Advertising, public relations & related services",23638,2445744,62193.52852,41.20931177,71658.70393,37.55677127
54194,Veterinary services,17420,1722972,34383.52859,37.41459525,41637.59829,33.31613979
5419Z,"Other professional, scientific & technical services ",21492,2162124,35347.48709,42.76531226,48789.03792,31.14796006
55,Management of companies & enterprises,7041,696864,78858.82096,44.66761664,87573.37742,39.26882146
5613,Employment services,56283,6246201,27730.71952,40.4139276,32608.27819,31.29997514
5614,Business support services,37901,4201403,26048.3537,39.17269541,31883.73688,32.49957788
5615,Travel arrangements & reservation services,13537,1408398,42231.64054,45.31372311,50458.95274,35.49955055
5616,Investigation & security services,37308,4169907,29471.09438,43.10862712,36519.72892,34.2914583
56173,Landscaping services,59780,6789783,16838.41113,39.27164432,24543.97296,33.52255116
5617Z,Services to buildings & dwellings (except cleaning during construction & immediately after construction),65398,7649568,16957.06115,43.49577911,23296.7143,29.33432058
561M,Other administrative & other support services,16881,1739640,42526.21543,43.30940769,51110.15189,35.00824538
562,Waste management & remediation services,22840,2349287,38728.9901,44.22247133,43940.20911,37.95274396
6111,Elementary & secondary schools,473409,43727072,35139.15023,46.49499269,41910.66386,33.46635823
611M1,"Colleges, universities & professional schools, including junior colleges",219695,20399766,40295.76012,41.13396781,48104.98453,30.94374004
611M2,"Business, technical & trade schools and training",6037,592631,35076.60353,45.65250552,45666.80496,31.11801441
611M3,Other schools & instruction and educational support services,40664,3931507,21760.44285,40.79267594,32636.05309,24.86289354
6211,Offices of physicians,81018,8053693,68344.71606,45.27531941,81541.84555,35.32771761
6212,Offices of dentists,42413,4291550,47169.07615,42.95988,59226.74648,31.30017266
62131,Offices of chiropractors,6754,691490,32373.8513,43.27672996,47143.6604,30.38911915
62132,Offices of optometrists,6445,647836,40576.33273,42.25671312,52626.19878,32.91387018
6213ZM,Offices of other health practitioners,14691,1415211,34048.18686,47.77561932,58927.58141,30.77874324
6214,Outpatient care centers,72426,7329979,44716.97261,42.96201872,50973.10358,34.78240142
6216,Home health care services,62765,6832854,23152.58771,45.65594845,27815.99384,30.13302962
621M,Other health care services,46738,5152766,46471.46478,42.59041882,51528.27755,36.57583519
622,Hospitals,329632,33202400,56214.86081,44.38585584,61027.68598,35.83733995
6231,Nursing Care Facilities,89248,9160374,27799.71371,43.1041547,31083.86153,32.31774773
623M,"Residential care facilities, except skilled nursing facilities",49693,5219416,25103.88437,42.68222786,29265.32725,33.03252931
6241,Individual & family services,80956,8178939,26344.75904,45.27606331,32804.64242,30.83886944
6242,"Community food & housing, & emergency services ",7416,722190,25992.48583,46.91876514,31979.02416,30.48593583
6243,Vocational rehabilitation services,11530,1007200,19809.62567,44.01244341,26664.6794,26.70527998
6244,Child day care services,80321,8371420,13182.90786,39.87835182,18732.32728,28.94761653
711,"Performing arts, spectator sports & related industries",43299,4423113,25903.38866,42.27001413,41941.34245,29.20665694
712,"Museums, art galleries, historical sites, & similar institutions",23392,2214100,24965.01918,40.03096789,31372.18917,29.36878009
71395,Bowling centers,2213,225537,15871.93303,37.45270621,20275.72395,26.40905483
713Z,Amusement & Recreation,115682,11691770,19849.06416,36.26293341,25049.59127,28.09848227
7211,Traveler accommodation,67861,7701410,25984.46394,41.11709181,29093.45867,33.03103406
721M,Recreational vehicle parks & camps and rooming & boarding houses,12482,1045283,10107.08356,31.26483163,14881.78726,30.21561242
7224,"Drinking places, alcoholic beverages ",10739,1231244,17761.46365,36.57384808,21325.26882,28.41015103
722Z,Restaurants & Food Services,436038,50894028,15704.84118,31.33417045,17704.4182,28.3642829
811192,Car washes,8165,971693,15506.8861,34.21103682,20688.87769,30.61234567
8111Z,Automotive repair & maintenance,55527,5872082,28429.28609,42.32717544,36040.15607,37.46776288
8112,Electronic & precision equipment repair and maintenance,6051,646808,31784.34206,43.59677833,40121.72673,33.84037612
8113,Commercial & industrial machinery & equipment repair & maintenance,13802,1382691,33576.94675,44.17326286,42408.01519,38.16611521
8114,Personal & household goods repair & maintenance,9548,928969,17489.7155,49.80287394,30992.65103,32.36467525
812111,Barber shops,4726,542865,12041.39607,44.14394923,24775.2977,34.27302184
812112,Beauty salons,43677,4823397,14053.26297,41.37073042,23412.47678,29.97025706
8121M,Nail salons & other personal care services,19303,2179685,14325.21168,40.51326224,22366.49938,31.67915364
8122,"Funeral homes, & cemeteries & crematories ",7798,708957,31311.06438,52.75933096,44038.27581,31.1013108
8123,Drycleaning & laundry services,13283,1496472,22432.20956,45.07875122,27342.2326,32.90149365
8129,Other personal services,19944,2108317,18906.61286,40.00949573,26542.22734,29.9763878
8131,Religious organizations,65030,5679913,25630.40587,50.42830093,34845.22303,28.73385702
81393,Labor unions,3913,386846,57062.46525,48.83422861,67993.60424,36.57389245
8139Z,"Business, professional, political, & similar organizations",9135,852165,56215.42442,46.47993757,65911.75446,34.0536375
813M,"Civic, social, advocacy organizations, & grantmaking & giving services",40030,3857374,36947.30734,43.5162888,43948.93848,31.83041313
814,Private households,44142,4799746,6126.305197,42.33957568,14730.31633,23.6762362
92113,Public finance activities,16088,1498675,50606.78616,49.8821519,59909.92019,34.12162343
92119,Other general government & support,9325,823809,31860.70464,53.22883581,46075.66812,27.77629281
9211MP,Executive offices & legislative bodies,62822,5607592,44413.36914,48.55807662,52851.37784,33.63163939
923,Administration of human resource programs,43616,4255196,44371.65779,48.17264493,52379.47238,33.86709707
928P,National security & international affairs,45546,5001001,59287.04995,44.01925714,70085.08336,37.08579142
92M1,Administration of environmental quality & housing programs,14099,1252654,54672.66708,47.62883685,64086.26947,35.31517243
92M2,Administration of economic programs & space research,27783,2547473,54509.49294,49.93163735,64883.75875,33.7890325
92MP,"Justice, public order, & safety activities ",136615,13058861,52361.43255,44.5079891,59957.87302,38.46390462
928110P1,U. S. Army,17075,1682663,40383.72611,30.99573236,44871.28769,45.45937957
928110P2,U. S. Air Force,10139,930858,44130.86243,30.51163335,47602.28335,42.03827866
928110P3,U. S. Navy,10360,1010356,41735.20095,29.02201402,44829.39263,48.02848105
928110P4,U. S. Marines,6117,587645,32983.74843,26.15125288,35623.43431,48.4077768
928110P5,U. S Coast Guard,1337,130495,48861.87124,32.92350665,53493.03964,45.37462738
928110P6,U. S. Armed Forces: Branch Not Specified,2138,225371,48741.82023,32.85224363,51818.73643,42.88054364
928110P7,Military Reserves or National Guard,1082,112409,26808.24603,31.80282718,32762.06738,35.60766487
